code,name,amc,category,type
124181,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly,DSP Mutual Fund,INF740K01ZT8,Other
124179,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,DSP Mutual Fund,INF740KA1OK7,Other
140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund,-,Other
140288,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,Edelweiss Mutual Fund,INF843K01FE4,Other
140291,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,Edelweiss Mutual Fund,-,Other
140293,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,Edelweiss Mutual Fund,INF843K01FH7,Other
140290,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,Edelweiss Mutual Fund,-,Other
140283,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,Edelweiss Mutual Fund,-,Other
140284,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,Edelweiss Mutual Fund,INF843K01FM7,Other
140294,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,Edelweiss Mutual Fund,-,Other
140292,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,Edelweiss Mutual Fund,INF843K01FP0,Other
140289,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,Edelweiss Mutual Fund,-,Other
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,Franklin Templeton Mutual Fund,-,Other
129006,Franklin India Banking & PSU Debt Fund - Growth,Franklin Templeton Mutual Fund,-,Other
129009,Franklin India Banking and PSU Debt Fund - Direct - IDCW,Franklin Templeton Mutual Fund,INF090I01KT4,Other
129007,Franklin India Banking and PSU Debt Fund - IDCW,Franklin Templeton Mutual Fund,INF090I01KQ0,Other
128628,HDFC Banking and PSU Debt Fund - Growth Option,HDFC Mutual Fund,-,Other
128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,HDFC Mutual Fund,-,Other
128627,HDFC Banking and PSU Debt Fund - IDCW Option,HDFC Mutual Fund,INF179KA1JE0,Other
128626,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,INF179KA1JB6,Other
151108,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,HSBC Mutual Fund,INF917K01HL7,Other
151107,HSBC Banking and PSU Debt Fund - Direct Growth,HSBC Mutual Fund,-,Other
151106,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,HSBC Mutual Fund,INF917K01HI3,Other
151109,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,HSBC Mutual Fund,INF917K01HK9,Other
151102,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,HSBC Mutual Fund,INF677K01AF4,Other
151104,HSBC Banking and PSU Debt Fund - Regular Growth,HSBC Mutual Fund,-,Other
151105,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,HSBC Mutual Fund,INF677K01AJ6,Other
151103,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,HSBC Mutual Fund,INF917K01HM5,Other
112343,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,ICICI Prudential Mutual Fund,INF109K01RV9,Other
112344,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,ICICI Prudential Mutual Fund,INF109K01RU1,Other
130897,ICICI Prudential Banking and PSU Debt Fund - Bonus,ICICI Prudential Mutual Fund,-,Other
120257,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,ICICI Prudential Mutual Fund,INF109K01Z97,Other
